# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1765609314879000000,1765609320204000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1765609314879000000,1765609320204000000,0
FilePageCache.maxCacheSizeInBytes,1765609314879000000,1765609320204000000,457203712
DirectByteBufferAllocator.misses,1765609314879000000,1765609320204000000,0
StorageLockContext.competingThreads.max,1765609314879000000,1765609320204000000,0
FilePageCache.pageHits,1765609314879000000,1765609320204000000,0
FilePageCache.totalPageLoadsUs,1765609314879000000,1765609320204000000,0
FilePageCache.pageFastCacheHits,1765609314879000000,1765609320204000000,14
DirectByteBufferAllocator.disposed,1765609314879000000,1765609320204000000,386
NonBlockingReadAction.failedExecutionsCount,1765609314879000000,1765609320204000000,0
AWTEventQueue.dispatchTimeTotalNS,1765609314879000000,1765609320204000000,695018214
NonBlockingReadAction.finalizedExecutionsCount,1765609314879000000,1765609320204000000,0
NonBlockingReadAction.failedExecutionTimeUs,1765609314879000000,1765609320204000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1765609314879000000,1765609320204000000,0
Indexes.stubs.lookupDurationMaxMs,1765609314879000000,1765609320204000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1765609314879000000,1765609320204000000,0.0
Indexes.entries.lookups,1765609314879000000,1765609320204000000,0.0
Indexes.allKeys.lookupDuration90PMs,1765609314879000000,1765609320204000000,0.0
Indexes.entries.lookupDuration90PMs,1765609314879000000,1765609320204000000,0.0
Indexes.stubs.lookupDuration90PMs,1765609314879000000,1765609320204000000,0.0
Indexes.allKeys.lookups,1765609314879000000,1765609320204000000,0.0
Indexes.entries.lookupDurationAvgMs,1765609314879000000,1765609320204000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1765609314879000000,1765609320204000000,0.0
Indexes.stubs.lookups,1765609314879000000,1765609320204000000,0.0
Indexes.stubs.lookupDurationAvgMs,1765609314879000000,1765609320204000000,0.0
Indexes.entries.lookupDurationMaxMs,1765609314879000000,1765609320204000000,0.0
FileNameCache.fastMisses,1765609314879000000,1765609320204000000,0
FileNameCache.queries,1765609314879000000,1765609320204000000,0
FileNameCache.totalMisses,1765609314879000000,1765609320204000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1765609314879000000,1765609320204000000,0
workspaceModel.sync.entities.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1765609314879000000,1765609320204000000,0
jps.global.get.libraries.ms,1765609314879000000,1765609320204000000,21
jps.global.get.library.by.name.ms,1765609314879000000,1765609320204000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765609314879000000,1765609320204000000,0
jps.library.entities.serializer.load.entities.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765609314879000000,1765609320204000000,0
workspaceModel.global.updates.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1765609314879000000,1765609320204000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765609314879000000,1765609320204000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1765609314879000000,1765609320204000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1765609314879000000,1765609320204000000,0
jps.global.handle.before.change.events.ms,1765609314879000000,1765609320204000000,0
jps.global.initialize.library.bridges.after.loading.ms,1765609314879000000,1765609320204000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765609314879000000,1765609320204000000,0
workspaceModel.save.cache.to.file.ms,1765609314879000000,1765609320204000000,0
jps.global.initialize.library.bridges.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765609314879000000,1765609320204000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1765609314879000000,1765609320204000000,0
jps.load.initial.state.ms,1765609314879000000,1765609320204000000,13
workspaceModel.mutableEntityStorage.entities.ms,1765609314879000000,1765609320204000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765609314879000000,1765609320204000000,0
jps.app.storage.content.reader.load.component.ms,1765609314879000000,1765609320204000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765609314879000000,1765609320204000000,0
jps.global.handle.changed.events.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1765609314879000000,1765609320204000000,0
workspaceModel.load.cache.from.file.ms,1765609314879000000,1765609320204000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1765609314879000000,1765609320204000000,0
workspaceModel.global.apply.state.to.project.ms,1765609314879000000,1765609320204000000,0
workspaceModel.global.updates.count,1765609314879000000,1765609320204000000,0
jps.global.get.library.ms,1765609314879000000,1765609320204000000,0
jps.library.entities.serializer.save.entities.ms,1765609314879000000,1765609320204000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1765609314879000000,1765609320204000000,3
jps.save.global.entities.ms,1765609314879000000,1765609320204000000,0
